player_id,name,position,team,bye_week,pass_yds,pass_td,interceptions,rush_yds,rush_td,receptions,rec_yds,rec_td,fumbles_lost,adp,adp_sd,adp_min,adp_max,adp_is_estimated,proj_games,miss_rate,weekly_cv,proj_spread
jonathon-brooks-rb,Jonathon Brooks,RB,CAR,0,0.0,0.0,0.0,805.8,5.27,32.0,229.0,1.0,2.0,85.0,12.7,59.0,132.0,False,17.0,0.55,1.15,0.14065112764318252
dandre-swift-rb,D'Andre Swift,RB,CHI,0,0.0,0.0,0.0,1049.0,8.99,36.0,316.0,1.0,1.0,47.0,4.2,32.0,52.0,False,17.0,0.0,0.5380425232823757,0.0516175447322648
kyle-monangai-rb,Kyle Monangai,RB,CHI,0,0.0,0.0,0.0,775.0,5.0,20.2,162.0,0.0,1.0,105.0,12.0,65.0,124.0,False,17.0,0.0,0.7256790123456791,0.07586535605394143
chase-brown-rb,Chase Brown,RB,CIN,0,0.0,0.0,0.0,1015.7,7.325,62.45,423.75,3.85,1.05,15.3,2.8,7.0,22.0,False,17.0,0.0784313725490196,0.4707368421052632,0.09450127282653217
samaje-perine-rb,Samaje Perine,RB,CIN,0,0.0,0.0,0.0,348.5,2.21,17.0,132.0,0.85,3.0,226.0,21.9549673745787,180.0,273.2031798553442,False,17.0,0.0,0.6911605792089908,0.17014609925231466
quinshon-judkins-rb,Quinshon Judkins,RB,CLE,0,0.0,0.0,0.0,1087.2,7.43,30.0,205.0,0.85,1.0,51.8,6.1,35.0,67.0,False,17.0,0.0392156862745098,0.5891964285714286,0.04
dylan-sampson-rb,Dylan Sampson,RB,CLE,0,0.0,0.0,0.0,290.0,2.0,39.0,316.0,2.0,2.0,172.9,25.1,118.0,207.0,False,17.0,0.0,0.9660337552742615,0.11034747527928622
javonte-williams-rb,Javonte Williams,RB,DAL,0,0.0,0.0,0.0,1126.0,10.0,33.0,214.2,1.0,2.0,33.57,3.8,23.0,44.5,False,17.0,0.0196078431372549,0.5954167094851505,0.04818020378898011
malik-davis-rb,Malik Davis,RB,DAL,0,0.0,0.0,0.0,415.55,3.06,9.8,77.15,0.17,1.0,204.975,28.006387970903212,175.5682926305516,265.1887341374419,False,17.0,0.0196078431372549,1.1118686868686867,0.3759562638500945
jaydon-blue-rb,Jaydon Blue,RB,DAL,0,0.0,0.0,0.0,253.25,1.5,16.55,124.75,0.425,0.0,194.71,28.25644172282656,112.5,375.5,False,17.0,0.0196078431372549,1.1160804020100503,0.3968968153772517
jk-dobbins-rb,JK Dobbins,RB,DEN,0,0.0,0.0,0.0,988.0,7.0,18.7,104.0,0.51,1.0,92.0,9.4,55.0,114.0,False,17.0,0.5294117647058824,0.3373188405797102,0.04
rj-harvey-rb,RJ Harvey,RB,DEN,0,0.0,0.0,0.0,476.0,3.57,45.0,332.0,3.0,1.0,85.93,13.8,64.0,138.0,False,17.0,0.0,0.6548138520100268,0.16641942652543792
jonah-coleman-rb,Jonah Coleman,RB,DEN,0,0.0,0.0,0.0,313.6,2.3600000000000003,14.0,96.9,0.255,0.0,155.01,23.6,115.5,210.0,False,17.0,0.0,0.62,0.25522641661439016
jahmyr-gibbs-rb,Jahmyr Gibbs,RB,DET,0,0.0,0.0,0.0,1333.0,12.96,71.65,576.3,3.955,1.05,1.0,0.7,1.0,3.0,False,17.0,0.0,0.41934982917486285,0.08361291646681523
isiah-pacheco-rb,Isiah Pacheco,RB,DET,0,0.0,0.0,0.0,533.8,3.0,20.0,139.0,0.68,1.0,163.89,16.0,121.0,182.5,False,17.0,0.17647058823529413,0.6424150735799753,0.12005455541750358
josh-jacobs-rb,Josh Jacobs,RB,GB,0,0.0,0.0,0.0,1071.55,10.6,35.0,282.0,1.0,1.0,33.0,3.4,16.0,43.0,False,17.0,0.0,0.43609228452112003,0.04242908473345725
marshawn-lloyd-rb,MarShawn Lloyd,RB,GB,0,0.0,0.0,0.0,369.5,2.92,10.0,72.0,0.0,0.0,164.9,14.1,126.0,200.0,False,17.0,0.55,0.2,0.5353660355102863
david-montgomery-rb,David Montgomery,RB,HOU,0,0.0,0.0,0.0,984.3,8.16,32.3,241.4,1.0,2.0,48.0,5.5,37.5,69.0,False,17.0,0.0,0.4566027127696957,0.04
woody-marks-rb,Woody Marks,RB,HOU,0,0.0,0.0,0.0,537.2,3.0,27.0,214.0,1.36,1.0,139.8,16.0,98.0,170.0,False,17.0,0.0,0.7439596105301117,0.09257699428567812
jonathan-taylor-rb,Jonathan Taylor,RB,IND,0,0.0,0.0,0.0,1432.85,12.45,41.9,329.25,1.6,1.85,7.0,1.6,1.5,11.0,False,17.0,0.13725490196078433,0.5613566167735805,0.07197315296876693
